Date,Time,Date_Time,Elapsed_Time  ,Depth_ft          ,Temperature_C    ,Pressure _PSI            
6/19/2010,4:00,6/19/2010 4:00,133200,1.894,8.013,0.82
6/19/2010,5:00,6/19/2010 5:00,136800,1.919,8.007,0.831
6/19/2010,6:00,6/19/2010 6:00,140400,1.879,8.007,0.814
6/19/2010,7:00,6/19/2010 7:00,144000,1.572,8.038,0.681
6/19/2010,8:00,6/19/2010 8:00,147600,0.851,8.052,0.369
6/19/2010,9:00,6/19/2010 9:00,151200,0.476,8.057,0.206
6/19/2010,10:00,6/19/2010 10:00,154800,0.294,8.063,0.127
6/19/2010,11:00,6/19/2010 11:00,158400,0.176,8.073,0.076
6/19/2010,12:00,6/19/2010 12:00,162000,0.079,8.086,0.034
6/19/2010,13:00,6/19/2010 13:00,165600,-0.163,8.102,-0.071
6/19/2010,14:00,6/19/2010 14:00,169200,-0.347,8.114,-0.15
6/19/2010,15:00,6/19/2010 15:00,172800,-0.46,8.113,-0.199
6/19/2010,16:00,6/19/2010 16:00,176400,-0.475,8.116,-0.206
6/19/2010,17:00,6/19/2010 17:00,180000,-0.486,8.113,-0.211
6/19/2010,18:00,6/19/2010 18:00,183600,0.378,8.078,0.164
6/19/2010,19:00,6/19/2010 19:00,187200,0.693,8.066,0.3
6/19/2010,20:00,6/19/2010 20:00,190800,1.103,8.061,0.478
6/19/2010,21:00,6/19/2010 21:00,194400,1.312,8.061,0.568
6/19/2010,22:00,6/19/2010 22:00,198000,1.445,8.056,0.626
6/19/2010,23:00,6/19/2010 23:00,201600,1.544,8.041,0.669
6/20/2010,0:00,6/20/2010 0:00,205200,1.638,8.038,0.709
6/20/2010,1:00,6/20/2010 1:00,208800,1.644,8.03,0.712
6/20/2010,2:00,6/20/2010 2:00,212400,1.646,8.027,0.713
6/20/2010,3:00,6/20/2010 3:00,216000,1.578,8.027,0.683
6/20/2010,4:00,6/20/2010 4:00,219600,1.579,8.026,0.684
6/20/2010,5:00,6/20/2010 5:00,223200,1.542,8.03,0.668
6/20/2010,6:00,6/20/2010 6:00,226800,1.509,8.032,0.653
6/20/2010,7:00,6/20/2010 7:00,230400,1.219,8.062,0.528
6/20/2010,8:00,6/20/2010 8:00,234000,0.608,8.066,0.263
6/20/2010,9:00,6/20/2010 9:00,237600,0.246,8.076,0.107
6/20/2010,10:00,6/20/2010 10:00,241200,0.123,8.08,0.053
6/20/2010,11:00,6/20/2010 11:00,244800,-0.032,8.086,-0.014
6/20/2010,12:00,6/20/2010 12:00,248400,-0.151,8.102,-0.065
6/20/2010,13:00,6/20/2010 13:00,252000,-0.351,8.115,-0.152
6/20/2010,14:00,6/20/2010 14:00,255600,-0.517,8.105,-0.224
6/20/2010,15:00,6/20/2010 15:00,259200,-0.624,8.115,-0.27
6/20/2010,16:00,6/20/2010 16:00,262800,-0.648,8.121,-0.281
6/20/2010,17:00,6/20/2010 17:00,266400,-0.646,8.117,-0.28
6/20/2010,18:00,6/20/2010 18:00,270000,0.212,8.086,0.092
6/20/2010,19:00,6/20/2010 19:00,273600,0.544,8.073,0.236
6/20/2010,20:00,6/20/2010 20:00,277200,0.942,8.07,0.408
6/20/2010,21:00,6/20/2010 21:00,280800,1.129,8.067,0.489
6/20/2010,22:00,6/20/2010 22:00,284400,1.259,8.06,0.545
6/20/2010,23:00,6/20/2010 23:00,288000,1.345,8.049,0.583
6/21/2010,0:00,6/21/2010 0:00,291600,1.396,8.044,0.605
6/21/2010,1:00,6/21/2010 1:00,295200,1.478,8.038,0.64
6/21/2010,2:00,6/21/2010 2:00,298800,1.465,8.033,0.634
